Date,Price,Open,High,Low,Vol.,Change %,CPI_Combined,Inflation_Rate,Gold_Returns,Rolling_Corr_12m,Rolling_Corr_24m,Rolling_Beta_12m
2015-01-01,1183.2,"1,213.80","1,223.00","1,141.60",3.42M,-2.46%,125.1,0.6436041834271933,0.0,0.9530705263357927,0.5460744628020852,0.5008568059741638
2015-01-01,1183.2,"1,213.80","1,223.00","1,141.60",3.42M,-2.46%,119.5,-4.476418864908071,0.0,0.8178047243135653,0.3548953884615778,0.37991709294745535
2015-01-01,1213.1,"1,283.00","1,286.50","1,190.00",2.39M,-5.17%,122.3,2.343096234309616,2.5270453008789717,0.8137758314602269,0.38522530333355665,0.4273673819000047
2015-01-01,1213.1,"1,283.00","1,286.50","1,190.00",2.39M,-5.17%,120.6,-1.3900245298446468,0.0,0.7323722731856565,0.3915238224330689,0.39097660951255236
2015-01-01,1213.1,"1,283.00","1,286.50","1,190.00",2.39M,-5.17%,119.5,-0.9121061359867233,0.0,0.7323102899651359,0.3998600986980884,0.3875882080760933
2015-01-01,1171.8,"1,189.80","1,205.70","1,162.10",2.70M,-1.51%,124.9,4.51882845188285,-3.4045008655510633,0.004706270226659747,0.19187408602012818,0.002734471597922866
2015-01-01,1279.2,"1,184.00","1,307.80","1,167.30",3.64M,8.03%,118.4,-5.204163330664535,9.16538658474144,-0.6451508419962685,-0.13196498617713673,-0.6995326977643874
2015-01-01,1279.2,"1,184.00","1,307.80","1,167.30",3.64M,8.03%,118.7,0.2533783783783772,0.0,-0.6450463253767011,-0.09838961874264698,-0.7108555698918417
2015-01-01,1279.2,"1,184.00","1,307.80","1,167.30",3.64M,8.03%,119.5,0.6739679865206405,0.0,-0.6462943165751845,-0.10147021606379894,-0.7201026649787509
2015-01-01,1279.2,"1,184.00","1,307.80","1,167.30",3.64M,8.03%,120.6,0.9205020920502127,0.0,-0.6462385281415666,-0.16168312935247273,-0.7190636075307192
2015-01-01,1279.2,"1,184.00","1,307.80","1,167.30",3.64M,8.03%,122.3,1.4096185737976885,0.0,-0.6450987965122308,-0.1976873756702244,-0.709857538960457
